"habitat",982
"population",870
"area",673
"hunting",594
"forest",564
"per",428
"losss",416
"range",366
"human",308
"livestock",271
"wild",248
"trade",232
"threatened",231
"local",211
"protected",206
"domestic",204
"decline",201
"competition",200
"number",198
"use",189
"agriculture",179
"year",178
"illegal",175
"logging",172
"land",171
"fragmentation",168
"plantation",168
"poaching",168
"animal",167
"increasing",162
"meat",162
"development",161
"increased",161
"high",154
"part",153
"result",152
"small",152
"level",147
"especially",146
"water",143
"agricultural",142
"within",140
"food",139
"conversion",134
"cat",132
"disease",131
"timmins",129
"park",123
"island",122
"mining",122
"hunted",120
"people",120
"khulan",119
"many",117
"significant",117
"conservation",116
"particularly",116
"national",114
"activities",113
"expansion",112
"extraction",111
"deer",110
"deforestation",110
"can",108
"viet",108
"cattle",107
"even",107
"large",107
"include",106
"isolated",104
"region",104
"road",103
"since",103
"destruction",102
"hemionus",102
"wildlife",102
"found",101
"much",100
"pet",100
"reserve",99
"grazing",98
"likely",98
"main",97
"pressure",97
"mongolia",95
"nam",93
"commercial",91
"introduced",91
"resource",91
"settlement",91
"well",91
"reported",88
"extinction",87
"remain",87
"market",86
"crop",85
"khur",85
"seal",85
"serious",85
"reduced",84
